src,dst,attack
136.46.254.5,0.0.0.0,0
161.69.48.219,161.69.45.5,0
100.51.97.98,198.85.16.231,0
112.44.81.60,153.193.46.216,0
66.106.221.1,204.195.143.91,0
51.177.159.132,65.141.150.245,0
153.193.47.190,102.29.125.33,0
198.54.233.217,208.163.38.183,0
221.112.150.201,90.140.94.9,0
66.106.221.1,204.195.143.91,0
43.252.225.104,43.23.96.195,0
66.106.221.1,204.195.143.91,0
161.69.48.219,161.69.45.5,0
221.112.150.201,90.140.94.9,0
28.97.19.75,1.96.167.54,0
67.231.121.92,210.128.184.75,0
99.158.44.98,1.46.11.91,0
20.136.201.19,1.124.110.153,0
183.210.218.86,198.97.104.93,0
146.34.202.216,131.205.23.69,0
128.84.241.72,1.147.38.163,0
73.158.119.244,5.252.113.6,0
157.11.180.82,130.251.212.141,0
120.164.189.126,1.96.167.79,0
146.34.202.216,131.205.23.69,0
120.164.189.126,1.96.167.79,0
108.5.94.8,1.96.167.202,0
153.193.47.190,102.29.125.33,0
43.252.225.104,43.23.96.195,0
70.50.180.237,43.11.84.225,0
119.241.245.252,1.102.120.175,0
157.11.180.82,130.251.212.141,0
161.69.48.219,161.69.45.5,0
157.11.180.82,130.251.212.141,0
153.193.47.68,153.193.151.122,0
51.177.159.132,65.141.150.245,0
51.177.159.132,65.141.150.245,0
51.177.159.132,65.141.150.245,0
142.71.55.31,153.193.184.105,0
153.193.47.190,102.29.125.33,0
111.205.228.218,199.86.52.149,0
43.252.225.104,43.23.96.195,0
5.231.81.82,57.116.11.150,0
158.10.87.86,3.253.33.212,0
5.231.81.82,57.116.11.150,0
99.158.44.98,1.46.11.91,0
104.123.153.155,210.29.60.25,0
161.69.48.219,161.69.45.5,0
111.37.250.110,1.145.175.142,0
99.158.44.98,1.46.11.91,0
67.201.200.234,210.108.32.98,0
43.139.101.117,1.155.61.162,0
199.63.145.75,67.231.121.86,0
153.193.47.190,102.29.125.33,0
99.158.44.98,1.46.11.91,0
39.205.100.63,5.252.122.40,0
43.139.101.166,1.12.2.37,0
43.139.101.120,1.147.57.36,0
111.37.250.110,1.145.175.142,0
212.237.120.198,65.42.241.23,0
198.88.219.113,198.88.221.44,0
