"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"259",771,13162,3222,0.8033447265625,0.1966552734375,13240,3144,0.80810546875,0.19189453125,3144,0,0.975791433891993,0,24,14,128
"260",772,13125,3259,0.80108642578125,0.19891357421875,13730,2654,0.8380126953125,0.1619873046875,2654,0,0.814360233200368,0,24,14,128
"261",773,13068,3316,0.797607421875,0.202392578125,14130,2254,0.8624267578125,0.1375732421875,2254,0,0.679734620024125,0,24,14,128
"262",774,13035,3349,0.79559326171875,0.20440673828125,14298,2086,0.8726806640625,0.1273193359375,2086,0,0.622872499253509,0,24,14,128
"263",775,13179,3205,0.80438232421875,0.19561767578125,14190,2194,0.8660888671875,0.1339111328125,2194,0,0.684555382215289,0,24,14,128
"264",776,13161,3223,0.80328369140625,0.19671630859375,14173,2211,0.86505126953125,0.13494873046875,2211,0,0.686006825938567,0,24,14,128
"265",777,13130,3254,0.8013916015625,0.1986083984375,14321,2063,0.87408447265625,0.12591552734375,2063,0,0.633988936693301,0,24,14,128
"266",778,13091,3293,0.79901123046875,0.20098876953125,14251,2133,0.86981201171875,0.13018798828125,2133,0,0.647737625265715,0,24,14,128
"267",779,13198,3186,0.8055419921875,0.1944580078125,14361,2023,0.87652587890625,0.12347412109375,2023,0,0.634965473948525,0,24,14,128
"268",780,13077,3307,0.79815673828125,0.20184326171875,14286,2098,0.8719482421875,0.1280517578125,2098,0,0.634411853643786,0,24,14,128
"269",781,13149,3235,0.80255126953125,0.19744873046875,14463,1921,0.88275146484375,0.11724853515625,1921,0,0.593817619783617,0,24,14,128
"270",782,13084,3300,0.798583984375,0.201416015625,14403,1981,0.87908935546875,0.12091064453125,1981,0,0.60030303030303,0,24,14,128
"271",783,13133,3251,0.80157470703125,0.19842529296875,14234,2150,0.8687744140625,0.1312255859375,2150,0,0.661334973854199,0,24,14,128
"272",784,13090,3294,0.7989501953125,0.2010498046875,14365,2019,0.87677001953125,0.12322998046875,2019,0,0.612932604735883,0,24,14,128
"273",785,13147,3237,0.80242919921875,0.19757080078125,14396,1988,0.878662109375,0.121337890625,1988,0,0.61414890330553,0,24,14,128
"274",786,13066,3318,0.7974853515625,0.2025146484375,14361,2023,0.87652587890625,0.12347412109375,2023,0,0.609704641350211,0,24,14,128
"275",787,13069,3315,0.79766845703125,0.20233154296875,14355,2029,0.87615966796875,0.12384033203125,2029,0,0.612066365007542,0,24,14,128
"276",788,13089,3295,0.79888916015625,0.20111083984375,14338,2046,0.8751220703125,0.1248779296875,2046,0,0.620940819423369,0,24,14,128
"277",789,12987,3397,0.79266357421875,0.20733642578125,14257,2127,0.87017822265625,0.12982177734375,2127,0,0.626140712393288,0,24,14,128
"278",790,13142,3242,0.8021240234375,0.1978759765625,14041,2343,0.85699462890625,0.14300537109375,2343,0,0.722702035780383,0,24,14,128
"279",791,13107,3277,0.79998779296875,0.20001220703125,13615,2769,0.83099365234375,0.16900634765625,2769,0,0.844980164784864,0,24,14,128
"280",792,13075,3309,0.79803466796875,0.20196533203125,13497,2887,0.82379150390625,0.17620849609375,2887,0,0.872469023874282,0,24,14,128
"281",793,13099,3285,0.79949951171875,0.20050048828125,13453,2931,0.82110595703125,0.17889404296875,2931,0,0.892237442922374,0,24,14,128
"282",794,13087,3297,0.79876708984375,0.20123291015625,13459,2925,0.82147216796875,0.17852783203125,2925,0,0.887170154686078,0,24,14,128
"283",795,13128,3256,0.80126953125,0.19873046875,13505,2879,0.82427978515625,0.17572021484375,2879,0,0.884213759213759,0,24,14,128
"284",796,13098,3286,0.7994384765625,0.2005615234375,13442,2942,0.8204345703125,0.1795654296875,2942,0,0.895313451004261,0,24,14,128
"285",797,13115,3269,0.80047607421875,0.19952392578125,13450,2934,0.8209228515625,0.1790771484375,2934,0,0.897522178036097,0,24,14,128
"286",798,13170,3214,0.8038330078125,0.1961669921875,13522,2862,0.8253173828125,0.1746826171875,2862,0,0.890479153702551,0,24,14,128
"287",799,13118,3266,0.8006591796875,0.1993408203125,13381,3003,0.81671142578125,0.18328857421875,3003,0,0.919473361910594,0,24,14,128
"288",800,13039,3345,0.79583740234375,0.20416259765625,13292,3092,0.811279296875,0.188720703125,3092,0,0.924364723467862,0,24,14,128
"289",801,13103,3281,0.79974365234375,0.20025634765625,13270,3114,0.8099365234375,0.1900634765625,3114,0,0.949100883876867,0,24,14,128
"290",802,13178,3206,0.8043212890625,0.1956787109375,13360,3024,0.8154296875,0.1845703125,3024,0,0.943231441048035,0,24,14,128
"291",803,13170,3214,0.8038330078125,0.1961669921875,13327,3057,0.81341552734375,0.18658447265625,3057,0,0.951151213441195,0,24,14,128
"292",804,13094,3290,0.7991943359375,0.2008056640625,13276,3108,0.810302734375,0.189697265625,3108,0,0.94468085106383,0,24,14,128
"293",805,13134,3250,0.8016357421875,0.1983642578125,13329,3055,0.81353759765625,0.18646240234375,3055,0,0.94,0,24,14,128
"294",806,13129,3255,0.80133056640625,0.19866943359375,13318,3066,0.8128662109375,0.1871337890625,3066,0,0.941935483870968,0,24,14,128
"295",807,13180,3204,0.804443359375,0.195556640625,13364,3020,0.815673828125,0.184326171875,3020,0,0.942571785268414,0,24,14,128
"296",808,13153,3231,0.80279541015625,0.19720458984375,13328,3056,0.8134765625,0.1865234375,3056,0,0.945837202104612,0,24,14,128
"297",809,13047,3337,0.79632568359375,0.20367431640625,13169,3215,0.80377197265625,0.19622802734375,3215,0,0.963440215762661,0,24,14,128
"298",810,13094,3290,0.7991943359375,0.2008056640625,13248,3136,0.80859375,0.19140625,3136,0,0.953191489361702,0,24,14,128
"299",811,13106,3278,0.7999267578125,0.2000732421875,13228,3156,0.807373046875,0.192626953125,3156,0,0.962782184258694,0,24,14,128
"300",812,13106,3278,0.7999267578125,0.2000732421875,13250,3134,0.8087158203125,0.1912841796875,3134,0,0.956070774862721,0,24,14,128
"301",813,13217,3167,0.80670166015625,0.19329833984375,13353,3031,0.81500244140625,0.18499755859375,3031,0,0.95705715187875,0,24,14,128
"302",814,13079,3305,0.79827880859375,0.20172119140625,13183,3201,0.80462646484375,0.19537353515625,3201,0,0.968532526475038,0,24,14,128
"303",815,13113,3271,0.80035400390625,0.19964599609375,13233,3151,0.80767822265625,0.19232177734375,3151,0,0.963313971262611,0,24,14,128
"304",816,13163,3221,0.80340576171875,0.19659423828125,13263,3121,0.80950927734375,0.19049072265625,3121,0,0.968953741074201,0,24,14,128
"305",817,13093,3291,0.79913330078125,0.20086669921875,13218,3166,0.8067626953125,0.1932373046875,3166,0,0.962017623822546,0,24,14,128
"306",818,13074,3310,0.7979736328125,0.2020263671875,13188,3196,0.804931640625,0.195068359375,3196,0,0.965558912386707,0,24,14,128
